"","X","ISO3","Country","Province","Market","Address","latitude","longitude","ID","local_consumption"
"1904",1904,"TZA","United Republic of Tanzania","Mbeya","Mbeya","Mbeya, United Republic of Tanzania",-8.9094014,33.4607744,"TZA1904",1620616809.29688
"1905",1905,"TZA","United Republic of Tanzania","Morogoro","Morogoro","Morogoro, United Republic of Tanzania",-6.8277556,37.6591144,"TZA1905",1118411661.6875
"1906",1906,"TZA","United Republic of Tanzania","Mtwara","Mtwara","Mtwara, United Republic of Tanzania",-10.3112236,40.1759806,"TZA1906",569860552.78125
"1907",1907,"TZA","United Republic of Tanzania","Mwanza","Mwanza","Mwanza, United Republic of Tanzania",-2.5164305,32.9174517,"TZA1907",2250187889.28125
"1908",1908,"TZA","United Republic of Tanzania","Njombe","Njombe","Njombe, United Republic of Tanzania",-9.3731511,34.8005067,"TZA1908",337060999.90625
"1909",1909,"TZA","United Republic of Tanzania","Rukwa","Sumbawanga","Sumbawanga, United Republic of Tanzania",-7.9488646,31.6169002,"TZA1909",572617810.78125
"1910",1910,"TZA","United Republic of Tanzania","Ruvuma","Songea","Songea, United Republic of Tanzania",-10.6462694,35.6423527,"TZA1910",637714253.875
"1911",1911,"TZA","United Republic of Tanzania","Shinyanga","Shinyanga","Shinyanga, United Republic of Tanzania",-3.6809961,33.4271403,"TZA1911",739022004.21875
"1912",1912,"TZA","United Republic of Tanzania","Singida","Singida","Singida, United Republic of Tanzania",-4.8253518,34.7630307,"TZA1912",669813131.640625
"1913",1913,"TZA","United Republic of Tanzania","Tabora","Tabora","Tabora, United Republic of Tanzania",-5.0424945,32.8197329,"TZA1913",714114781.203125
"1914",1914,"TZA","United Republic of Tanzania","Tanga","Tanga","Tanga, United Republic of Tanzania",-5.0888751,39.1023228,"TZA1914",985581355.523438
"1915",1915,"VEN","Venezuela","","National Average","National Average, Venezuela",43.6717664,-79.4140113,"VEN1915",4797488996
"1916",1916,"VNM","Viet Nam","An Giang","An Giang","An Giang, Viet Nam",10.5215836,105.1258955,"VNM1916",2463028178.625
"1917",1917,"VNM","Viet Nam","Dong Thap","Dong Thap","Dong Thap, Viet Nam",10.4937989,105.6881788,"VNM1917",2841345741
"1918",1918,"YEM","Yemen","Abyan","Zungubar City","Zungubar City, Yemen",13.1350213,45.3886399,"YEM1918",2797520.28515625
"1919",1919,"YEM","Yemen","Aden","Aden City","Aden City, Yemen",12.7854969,45.0186548,"YEM1919",32429247
"1920",1920,"YEM","Yemen","Al Bayda","Al Bayda City","Al Bayda City, Yemen",13.9889146,45.5771002,"YEM1920",8007315.59375
"1921",1921,"YEM","Yemen","Al Dhale'e","Addaleh Town","Addaleh Town, Yemen",12.7965628,45.0357034,"YEM1921",32261550.375
"1922",1922,"YEM","Yemen","Al Hudaydah","Al Hudaydah City (Hodieda)","Al Hudaydah City (Hodieda), Yemen",14.7909118,42.9708838,"YEM1922",30050247
"1923",1923,"YEM","Yemen","Al Jawf","Al Hazum","Al Hazum, Yemen",16.1672432,44.7791562,"YEM1923",3176355.3046875
"1924",1924,"YEM","Yemen","Al Maharah","Al Ghaidha","Al Ghaidha, Yemen",16.2060497,52.1806128,"YEM1924",183881.774658203
